noun,gender,lang
débrutissement,masculine,French
débucher,masculine,French
débullage,masculine,French
début,masculine,French
débutant,masculine,French
déca,masculine,French
décadent,masculine,French
décadi,masculine,French
décagone,masculine,French
décagramme,masculine,French
décaillage,masculine,French
décakatal,masculine,French
décane,masculine,French
décanteur,masculine,French
fabacée,feminine,French
fabricant,feminine,French
fabrication,feminine,French
fabulation,feminine,French
fabulette,feminine,French
fabuliste,feminine,French
Faby,feminine,French
fac,feminine,French
facette,feminine,French
fâcherie,feminine,French
facho,feminine,French
fachosphère,feminine,French
facilitation,feminine,French
facilité,feminine,French
faconde,feminine,French
façonnier,feminine,French
faction,feminine,French
factorerie,feminine,French
factorialité,feminine,French
factorielle,feminine,French
factorisation,feminine,French
facturation,feminine,French
facture,feminine,French
facturette,feminine,French
fada,feminine,French
fadaise,feminine,French
fadette,feminine,French
fæces,feminine,French
faena,feminine,French
fagacée,feminine,French
fagne,feminine,French
fagoue,feminine,French
faiblesse,feminine,French
faïence,feminine,French
faïencerie,feminine,French
faïencière,feminine,French
faille,feminine,French
faillibilité,feminine,French
faine,feminine,French
fainéante,feminine,French
fainéantise,feminine,French
faisabilité,feminine,French
faisselle,feminine,French
faitière,feminine,French
faîtière,feminine,French
falaise,feminine,French
falourde,feminine,French
falsification,feminine,French
faluche,feminine,French
falunière,feminine,French
famélique,feminine,French
familiarisation,feminine,French
familiarité,feminine,French
fan,feminine,French
fanatique,feminine,French
fane,feminine,French
faneuse,feminine,French
fanfare,feminine,French
fanfaronnade,feminine,French
fanfiction,feminine,French
fanfreluche,feminine,French
fange,feminine,French
fangothérapie,feminine,French
fantaisie,feminine,French
fantasia,feminine,French
fantasie,feminine,French
fantasmagorie,feminine,French
fantasy,feminine,French
faradisation,feminine,French
farce,feminine,French
farceuse,feminine,French
farde,feminine,French
faribole,feminine,French
farigoule,feminine,French
farine,feminine,French
farinière,feminine,French
fasce,feminine,French
fasciation,feminine,French
fascination,feminine,French
fasciste,feminine,French
fascistisation,feminine,French
Fassanaro,feminine,French
fataliste,feminine,French
fatalité,feminine,French
fatha,feminine,French
fatigabilité,feminine,French
fatigue,feminine,French
fatuité,feminine,French
fauche,feminine,French
Faucheuse,feminine,French
faucheuse,feminine,French
faucille,feminine,French
fauconnerie,feminine,French
fauconnière,feminine,French
faufilure,feminine,French
faune,feminine,French
faunesse,feminine,French
faussaire,feminine,French
fauverie,feminine,French
fauvette,feminine,French
fauviste,feminine,French
faux,feminine,French
faverole,feminine,French
faveur,feminine,French
favorite,feminine,French
fayalite,feminine,French
fayence,feminine,French
